,latitude,longitude
265,0.7761811,-1.2767659
266,0.234588,-1.5543152
267,0.7936117,-1.2870197
268,0.7498877,-1.4616015
269,0.0820582,-1.2941075
270,0.1583251,-1.3855034
271,0.5923438,-1.4158023
272,0.5092853,-1.4147307
273,-0.607762,-1.0216424
274,0.7989681,-1.9399858
275,0.6638621,-1.4766516
276,0.3007432,1.3688592
277,0.7310259,-1.6006554
278,0.7606494,-1.6884646
279,-0.5828178,-1.2354452
280,0.8921058,-1.9900244
281,0.7994952,-1.8944327
282,-0.5924712,2.6385364
283,0.6621151,0.4179104
284,0.7151818,0.5029096
285,0.2545266,-1.5800029
286,0.6045332,-1.5145112
287,0.5639368,-1.572121
288,0.8189207,-1.6897545
289,0.5320322,-1.5101531
290,0.6332386,-1.6459642
291,0.3442034,-2.7060982
292,0.7701195,-2.150455
293,0.709513,-1.3166904
294,0.530519,-1.4721905
295,0.4376884,2.115915
296,0.1888237,1.8614286
297,0.5295626,-1.4974454
298,0.3581834,-1.5171379
299,0.6500601,-1.6299386
300,0.6242118,2.450198
301,0.5981348,-1.3596569
302,-0.3981096,-0.7548646
303,0.2267184,1.3992182
304,0.7764115,-1.5381517
305,0.843933,0.2057063
306,0.5329049,-1.5908606
307,0.7234128,-1.5796539
308,0.8188439,-1.9912637
309,0.6184784,-1.4406262
310,0.851595,-2.1386916
311,0.9173398,0.2319141
312,0.5813308,-1.9487474
313,0.7279541,-1.5065211
314,0.5307075,-1.5545665
315,0.9707155,0.2208889
316,0.6114814,-1.4870868
317,0.6480739,-1.3350546
318,0.5356625,-1.5401274
319,0.7395693,-2.1445384
320,0.313037,-1.3401947
321,0.4904864,-1.407526
322,0.6514529,-1.3958341
323,0.8074714,-2.0790188
324,0.6008506,-2.0916025
325,0.9311977,-0.0397054
326,0.0235653,1.8150378
327,0.6697369,-1.42407
328,0.2119092,-1.5039188
329,0.7466292,-1.4763287
330,-0.0022544,-1.3675964
331,0.3148749,-1.1014581
332,0.2303468,1.3562308
333,0.7820367,-1.201277
334,0.4407445,0.9662911
335,0.761091,-1.9327427
336,0.7724495,-1.5449497
337,0.5824146,-1.4305504
338,0.3398139,-1.2339582
339,0.9304298,-1.982345
340,0.4027731,1.2677146
341,0.184888,-1.4930315
342,0.7152098,-1.486935
343,0.2396896,-1.0638235
344,0.7097242,-1.5654434
345,0.7214929,-1.3216226
346,0.8284153,0.1492112
347,0.8431773,-1.9941433
348,0.7614435,-1.3857251
349,0.6107116,-1.376721
350,0.7243832,-1.2933727
351,0.7687355,-1.798684
352,0.5663,-1.6375656
353,0.8927028,-0.003321
354,0.8883971,0.0782682
355,-0.0376541,-1.3942318
356,0.8504169,0.04118
357,0.7064587,-1.5518752
358,0.3089564,-1.1309489
359,0.7942173,0.2155813
360,0.7120106,-1.2758391
361,0.51819,-1.4359137
362,0.3367229,-1.4199597
363,0.3061151,-1.5412688
364,0.6656441,-1.3692615
365,0.702961,-1.3057419
366,0.8287172,-1.9437907
367,0.3242822,-1.2617422
368,0.6768614,-0.1594519
369,0.8951707,0.1181026
370,0.2281948,-1.03834
371,0.7910268,-1.3206766
372,0.380021,-1.2612779
373,0.4082744,1.9774407
374,0.5257263,0.5481311
